Gene,alpha,beta,gamma
AT5G40100,-0.11498234421014786,0.45652347803115845,-0.18055257201194763
AT1G06930,-0.28700223565101624,-0.3505270779132843,-0.0752817690372467
AT1G04470,0.8207594156265259,-0.2298000007867813,-0.269293874502182
AT5G66730,0.027202507480978966,-0.05169425532221794,-0.029654935002326965
AT2G38472,-0.10758380591869354,-0.12598402798175812,-0.058368980884552
AT2G38474,0.3252142369747162,-0.09502032399177551,-0.11311685293912888
AT2G38470,0.006043086759746075,-0.01793529838323593,0.00419551832601428
