Gene,alpha,beta,gamma,cluster
AT5G40100,-0.050179850310087204,0.36385172605514526,-0.26487234234809875,2
AT1G06930,-0.1962270587682724,-0.2644979655742645,-0.11114851385354996,1
AT1G04470,0.5707485675811768,-0.32230257987976074,-0.16777442395687103,0
AT5G66730,0.02706042490899563,-0.05317787453532219,-0.029474621638655663,3
AT2G38472,-0.05426555499434471,-0.08729399740695953,-0.0821433737874031,1
AT2G38474,0.21212181448936462,-0.11226155608892441,-0.06967460364103317,1
AT2G38470,0.007693394087255001,-0.016541725024580956,0.0030998012516647577,3
